gene,pan1wt,pan2wt,pan3ko,pan4ko,pan5ko,pan6ko,pan7wt,pan8wt
Gm45817,0,0,0,0,0,0,0,0
Gm45819,1.434,0,0,0,0,0,0,0
Gm45820,0,0,0,0,0,0,0,0
Gm45821,0,0,0,0,0,0,0,0
Gm45822,0,0,0,0,0,0,0,0
Gm45823,0,0,0,0,0,0,0,0.623
Gm45824,0,0,0,0,0,0,0,0
Gm45826,0,0,0,0,0,0,0,0
Gm45827,0,0,0,0,0,0,0,0
Gm45828,5.737,5.146,5.196,3.268,0,1.45,7.57,3.116
Gm45829,0,0,0,0,0,0,0,0
Gm45830,0,0,0,0,0,0,0,0
Gm45832,0,0,0,0,0,0,0,0
Gm45833,0,0,0,0,0,0,0,0
Gm45834,0,0,0,0,0,0,0,0
Gm45837,0,0,0,3.268,0,0.725,0,1.87
Gm45838,17.211,17.155,14.723,13.072,12.857,12.325,9.084,14.334
Gm45839,0,0,0,0,0,0,0,0
Gm45841,0,0,0,0,0,0,0,0
Gm45842,0,0,0,0,0,0,0,0
Gm45843,0,0,0,0,0,0,0,0
Gm45844,1.434,0,0.866,0,3.214,0.725,1.514,0
Gm45845,1.434,1.715,1.732,1.634,0,1.45,2.271,1.87
Gm45846,0,0,0,0,0,0,0,0
Gm45847,0,0,0,0,0,0,0,0
Gm45848,0,0,0,0,0,0,0,0
Gm4585,0,0,0,0,0,0,0,0
Gm45850,0,0,0,0,0,0,0,0
Gm45853,11.474,8.577,6.928,9.804,9.643,10.15,12.112,7.479
Gm45854,0,0,0,0,0,0,0,0
Gm45855,0,0,0.866,1.634,0,0.725,0,0.623
Gm45856,0,0,0,0,0,0,0,0
Gm45857,0,0.858,0.866,1.634,0,0.725,0,1.246
Gm45859,0,0,0,0,0,0,0,0
Gm45860,0,0,0,0,0,0,0,0
Gm45861,0,0,0,0,0,0,0,0
Gm45864,0,0,0,0,0,0,0,0
Gm45865,0,0,0,0,0,0,0,0
Gm45866,0,0,0,0,0,0,0,0
Gm45867,167.806,57.468,105.657,58.825,99.64,113.102,263.435,64.193
Gm45868,0,0,0,0,0,0,0,0
Gm45869,0,0,0,0,0,0,0,0
Gm4587,0,0,0,0,0,0,0,0
Gm45870,0,0,0,0,0,0,0,0
Gm45871,24.382,31.736,39.838,31.863,35.356,34.801,31.037,31.161
Gm45872,1.434,3.431,0.866,3.268,6.428,5.8,2.271,0.623
Gm45873,2.868,0,1.732,0,6.428,0,1.514,2.493
Gm45874,0,0,0,0,0,0,0,0
Gm45875,0,0,0,0,0,0,0,0
Gm45876,0,0,0,0,0,0,0,0
Gm45877,1.434,0,0.866,0.817,0,0.725,0,0
Gm45878,0,0,0,0,0,0,0,0.623
Gm45879,1.434,3.431,1.732,1.634,28.928,19.575,6.056,0.623
Gm45880,0,0,0,0,0,0,0,0
Gm45881,0,0,0,0,0,0,0,0
Gm45883,0,0,0,0,0,0,0,0
Gm45884,43.027,36.025,24.249,27.778,38.57,50.026,46.934,71.048
Gm45885,0,0,0,0,0,0,0,0
Gm45886,0,0,0,0,0,0,0,0
Gm45887,0,0,0,0,0,0,0,0
Gm45888,0,0,0,0,0,0,0,0
Gm45889,0,0,0,0.817,0,0,0,0
Gm45890,0,0,0,0.817,0,0,0,0
Gm45892,0,0,0,0,0,0,0,0
Gm45893,0,0,0,0,0,0,0,0
Gm45894,2.868,5.146,5.196,10.621,3.214,7.25,6.813,2.493
Gm45895,0,0,0,0,0,0,0,0
Gm45897,0,0,0,0,0,0.725,0,0
Gm45899,0,0,0,0,0,0,0,0
Gm45900,0,0,0,0,0,0,0,0
Gm45901,0,0,0,0,0,0,0,0
Gm45902,97.528,96.066,71.016,79.25,93.211,69.601,89.326,92.238
Gm45903,0,0,0,0,0,0,0,0
Gm45904,0,0,0,0,0,0,0,0
Gm45906,0,0,0,0,0,0,0,0
Gm45907,0,0,0,0,0,0,0,0
Gm45908,0,0,0,0,0,0,0,0
Gm45909,0,0,0,0,0,0,0,0
Gm45910,0,0,0,0,0,0,0,0
Gm45911,0,0,0,0,0,0,0,0
Gm45912,0,0.858,1.732,2.451,0,0,0,0
Gm4593,0,0,0,0,0,0,0,0
Gm4596,0,2.573,3.464,4.085,0,2.175,0.757,1.87
Gm4598,0,0,0,0,0,0,1.514,0.623
Gm4602,0,0,0,0,0,0.725,0.757,0
Gm4604,0,0,0,0,0,0,2.271,0.623
Gm4605,0,0,0,0,0,0,0,0
Gm4607,0,0.858,0,0,0,0,0,0
Gm4609,0,0,0.866,0,0,1.45,1.514,1.246
Gm4610,0,0.858,0,0,0,0,0.757,0
Gm4613,0,0,0,0,0,0,0,0
Gm4617,0,1.715,1.732,1.634,0,1.45,0,1.246
Gm4631,0,0,0,0,0,0,0,0
Gm4640,0,0,0,0,0,0,0,0
Gm4644,0,0,0,0,0,0,0,0
Gm4651,0,0.858,0,0,0,0,0,0
Gm4654,0,0,0,0,3.214,0.725,0.757,0
Gm4660,0,0,0,0,0,0,0,0
Gm4665,0,0,0,0,0,0,0,0
Gm4673,12.908,10.293,1.732,6.536,3.214,2.9,7.57,14.334
Gm4675,0,0,0,0,0,0,0,0
Gm4691,0,0,0.866,0,0,1.45,2.271,1.246
Gm4705,0,0,0,0,0,0.725,0,0
Gm4707,10.04,3.431,13.857,11.438,3.214,13.05,30.28,6.232
Gm4714,0,0,0,1.634,0,0.725,0.757,0
Gm4724,2.868,1.715,0.866,0,0,2.175,2.271,2.493
Gm4725,0,0,0,0,0,0,0,0
Gm4726,0,0,0,0,0,0,0,0
Gm4732,0,0,0,0,0,0,0,0
Gm4734,0,1.715,0,0.817,0,0.725,0,0.623
Gm4735,0,0,0,0,0,0,0,0
Gm4736,0,0,0,0,0,0,0,0
Gm4737,0,0,0,0,0,0,0,0
Gm4742,0,0,0.866,2.451,0,0.725,0,0.623
Gm4744,0,0,0,0,0,0,0,0
Gm4746,0,0,0,0,0,0,0,0
Gm4750,0,0,0,0,0,0,0,0
Gm4751,0,0,0,0,0,0,0,0
Gm4753,0,0,0,0,0,0,0,0
Gm4754,0,0,0.866,0.817,0,0.725,0,0
Gm4755,0,0,0,0.817,0,0,0,0
Gm4756,0,0.858,0,0,0,0,0,0.623
Gm4758,0,0,0,0,0,0,0,0
Gm4759,10.04,4.289,6.928,3.268,0,5.075,17.411,8.725
Gm4760,0,0,0,0,0,0,0.757,0.623
Gm4761,0,1.715,0,0.817,0,0,0,0.623
Gm4763,0,0,0,0,0,0,0,0
Gm4764,0,0,0,0,0,0,0,0
Gm4767,0,0,0,0,0,0,0,0
Gm4768,0,0,0,0,0,0,0,0
Gm4772,0,0,0,0,0,0,0,0
Gm4773,0,0.858,0,0,0,0,0,0
Gm4775,0,0,0,0,0,0,0,0
Gm4778,0,0,0,0,0,0,0,0
Gm4779,0,0,0,0,0,0,0,0
Gm4782,0,0,0,0,0,0,0,0
Gm4784,0,0,0,0,0,0,0,0
Gm4785,0,0,0,0,0,0,0,0
Gm4787,0,0.858,3.464,0,0,0,0.757,4.986
Gm4788,0,0,0,0,0,0,0,0
Gm4789,0,0,0,0,0,0,0,0
Gm4791,0,0,0,0,0,0,0,0
Gm4792,0,0,0,0,0,0,0,0
Gm4793,0,0,0,0,3.214,0,0,0
Gm4795,0,0,0,0,0,0.725,0,0
Gm4799,0,0.858,1.732,0,0,0,0,0
Gm4804,0,0,0,0,0,0,0,0
Gm4810,1.434,0,0,0,0,0,0.757,0
Gm4812,0,0,0,0,0,0,0,0.623
Gm4819,0,0.858,0.866,0,0,0,0.757,0
Gm4822,0,0,0,0,0,0,0,0
Gm4823,0,0,0,0,0,0,0,0
Gm4825,0,0.858,0,0,0,0,0,0
Gm4831,0,0,0,0,0,0,0,0
Gm4832,10.04,22.301,9.526,15.523,9.643,2.175,3.785,0
Gm4835,0,0,0.866,0,0,0,0,0
Gm4836,0,0,0,0,0,0,0,0
Gm4841,15.777,14.581,245.09,269.613,6.428,22.475,11.355,0.623
Gm4842,0,0,0,0,0,0,0,0
Gm4845,0,0,0,0,0,0,0,0
Gm4846,0,0,0,0,0,0,0,0
Gm4847,0,0,0,0,0,0,0,0
Gm4849,0,0.858,0,0,0,2.175,0,0
Gm4850,0,0,0,0,0,0,0,0
Gm4852,0,0,0,0,0,0,0,0
Gm4853,1.434,0.858,0.866,0.817,0,0,0,0
Gm4854,0,0.858,0,0,0,0,0,0
Gm4855,0,0,0,0,0,0,0,0
Gm4856,0,0,0,0,0,0,0,0
Gm4857,0,0,0,0,0,0,0,0
Gm4858,0,0,0,0,0,0,0,0
Gm4859,0,0,0,0,0,0,0.757,0
Gm4860,0,0.858,0,0,0,0,0,0
Gm4861,0,0,0,0,0,0,0,0
Gm4862,0,0,0,0,0,0,0,0
Gm4863,0,0,0,0,0,0,0,0
Gm4865,0,0,0.866,0.817,0,0,0,0
Gm4866,0,0,0,0,0,0,0,0.623
Gm4868,0,0,0,0,0,0,0,0
Gm4869,0,0,0,0,0,0,0,0.623
Gm4870,0,0,0,0,0,0,0,0
Gm4871,0,0,0,0,0,0,0,0
Gm4872,0,0,0,0,0,0,0,0
Gm4873,0,0,0,0,0,0,0,0
Gm4874,0,0,0,0,0,0,0,0
Gm4875,0,1.715,0,2.451,0,0.725,0.757,0.623
Gm4876,0,0,0,0.817,0,0,0,0
Gm4877,0,0,0,0,0,0,0,0.623
Gm4879,0,0,0.866,0,0,0,0,0
Gm4880,1.434,0,0,0,0,0,0.757,0
Gm4881,0,0,0,0,0,0,0,0
Gm4883,0,0,0,0,0,0,0,0
Gm4884,0,0,0,0,0,0,0,0
Gm4886,0,0,0,0,0,0,0,0
Gm4887,0,0,0,0.817,0,0,0,1.246
Gm4889,0,0,0,0,0,0,0,0
Gm4890,4.303,3.431,1.732,1.634,0,2.175,3.785,3.116
Gm4891,0,0,0.866,0,0,0,0,0
Gm4894,0,0,0,0,0,0,0,0
Gm4895,1.434,1.715,0.866,0,0,0,3.785,1.246
Gm4899,1.434,0,0.866,0.817,0,0,0,0
Gm4903,0,0,0,0,0,0,0,0
Gm4904,0,0,0,0,0,0,0,0
Gm4907,0,0,0,0,0,0,0,0
Gm4908,0,0,0.866,0.817,0,0,0,0
Gm4909,0,0,0,0,0,0,0,0
Gm4910,0,0,0,0.817,0,0,0,0
Gm4911,0,0,0,0,0,0,0,0
Gm4912,0,0,0,0,0,0,0,0
Gm4913,0,0,0,0,0,0,0,0
Gm4914,0,0,0,0,0,0,0,0
Gm4915,0,0,0,0,0,0,0,0
Gm4916,0,0,0,0,0,0,0,0
Gm4917,0,0,0,0,0,0,0,0
Gm4918,0,0,0,0,0,0,0,0
Gm4919,0,0,0,0,0,0,0,0
Gm4922,0,0,0,0,0,0,0,0
Gm4924,14.342,9.435,11.259,5.719,12.857,13.775,5.299,16.827
Gm4925,0,2.573,2.598,0.817,0,0,0,0
Gm4926,0,0,0,0,0,0,0,0
Gm4929,0,0.858,4.33,0.817,0,0.725,0.757,0.623
Gm4943,0,0,0,0,0,0,0,0
Gm4945,0,0,0,0,0,0,0,0
Gm4950,0,0.858,0.866,0,0,1.45,0.757,0
Gm4951,252.427,198.994,352.48,350.497,379.274,363.232,255.108,62.946
Gm4952,0,0.858,0.866,0,0,0,0,0.623
Gm4953,0,0.858,0,0,0,0,0,0
Gm4954,0,0,0,0,0,0,0,0.623
Gm4956,4.303,0,1.732,4.085,0,3.625,10.598,2.493
Gm4959,0,0,0,0,0,0,0,0.623
Gm4960,1.434,0.858,0,0,0,0,0.757,1.246
Gm4961,0,0,0,0,3.214,0,0.757,0
Gm4962,0,0,0,0,0,0,0,0.623
Gm4963,0,0,0,0.817,0,0,0,0
Gm4968,0,0,0,0,0,0,0,0
Gm4969,0,0,0,0,0,0,0,0
Gm4971,0,0.858,0,0,0,0,0,0
Gm4972,0,0.858,0,0,0,0,0.757,0.623
Gm4973,0,1.715,2.598,0,3.214,2.175,0.757,0.623
Gm4974,0,0,0,0,0,0,0,0
Gm4978,0,0,0,0,0,0,0,0
Gm498,0,0,0,0,0,0,0,0
Gm4981,0,0,0,0,0,0,0,0
Gm4982,0,0,0,0,0,0,0,0
Gm4984,0,0,0,0,0,0,0,0
Gm4985,0,0,0,0,0,0,0,0
Gm4986,0,0,0,0,0,0,0,0
Gm4987,0,0,0,0,0,0,0,0
Gm4989,0,0,0,0,0,0,0,0
Gm4991,0,0,0,0,0,0,0,0
Gm4992,0,1.715,0,0,0,0,0,0
Gm4993,1.434,0,0,0,0,0,0,0
Gm4994,0,0,0,0,0,0.725,0,0
Gm4995,0,0,0,0,0,0,0,0
Gm4996,0,0,0,0,0,0,0,0
Gm4997,0,0,0,0,0,0.725,0,0
Gm5,0,0,0,0,0,0,0,0
Gm5001,0,0,0,0,0,0,0,0
Gm5002,0,0,0,0,0,0,0,0
Gm5027,0,0,0,0,0,0,0,0
Gm5034,0,0,0,0,0,0,0,0
Gm5037,0,0,0,0,0,0,0,0
Gm5039,0,0,0.866,0,0,0,0,0
Gm5043,0,0,0,0,0,0,0,0.623
Gm5045,10.04,2.573,6.928,11.438,0,8.7,7.57,6.856
Gm5046,0,0,0,0,0,0,0,0
Gm5049,0,0,0,0,0,0,0,0
Gm5050,2.868,2.573,3.464,4.085,0,0.725,0.757,0
Gm5051,0,0,0,0,0,0,0,0
Gm5053,0,0,0,0,0,0,0,0
Gm5054,1.434,0,0,0,0,0,0,0.623
Gm5058,0,0,0,0,0,0,0,0
Gm5060,0,0,0,0,0,0,0,0
Gm5065,0,0,0,0,0,0,0,0
Gm5066,0,0.858,0,0,0,0,0,0
Gm5067,0,0,0,0,0,0,0,0
Gm5069,1.434,0.858,0.866,2.451,0,0,0.757,1.87
Gm5070,0,0,0,0,0,0.725,0,0
Gm5071,0,0,0,0,0,0,0,0
Gm5072,0,0,0,0,0,0,0,0
Gm5073,5.737,6.004,1.732,1.634,6.428,0.725,6.813,1.87
Gm5075,0,0.858,0,1.634,0,0,0,0
Gm5082,0,0,0,0,0,0,0,0
Gm5083,0,1.715,0,0,0,0,0,0
Gm5084,0,0,0,0,0,0,0,0.623
Gm5086,53.067,17.155,21.651,31.863,38.57,58.726,32.551,76.657
Gm5087,0,0,0,0,0,0,0,0
Gm5089,0,0,0,0,0,0,0,0
Gm5091,0,0,0,0,0,0,0,0
Gm5092,0,0,0,0,0,0,0,0
Gm5093,0,0,0,0,0,0,0,0
Gm5096,0,0,0,0,0,0,0,0
Gm5099,0,0,0,0,0,0.725,0,0
Gm5100,0,0,0,0,0,0,0,0
Gm5103,0,0,0,0,0,0,0,0
Gm5105,0,0,0,0,0,0,0,0
Gm5106,1.434,0,0,0.817,0,0,0.757,0.623
Gm5108,0,0,0,0,0,0,0,0
Gm5110,0,0,0.866,0,0,0,0,0
Gm5111,0,0,0,0,0,0,0,0
Gm5112,1.434,3.431,2.598,2.451,3.214,3.625,5.299,3.116
Gm5113,10.04,6.004,10.393,8.17,19.285,15.225,8.327,21.813
Gm5114,0,0,0,0,0,0,0,0
Gm5116,0,0,0,0,0,0,0,0
Gm5117,0,0.858,0,0.817,0,0.725,0,0
Gm5118,0,0,0,0,0,0,0,0
Gm5121,0,0,0.866,0,0,0,0,0
Gm5123,0,0,0,0,0,0,0,0
Gm5124,0,0,0,0,0,0.725,0,0.623
Gm5125,0,0,0,0,0,0,0,0
Gm5127,2.868,7.72,6.928,10.621,12.857,8.7,9.841,10.595
Gm5128,0,0,0,0,0,0,0,0
Gm5129,0,0,0,0,0,0,0,0
Gm5130,0,0,0,0,0,0,0,0
Gm5131,1.434,0,0,0.817,0,1.45,0.757,0
Gm5133,0,0,0,0,0,0,0,0
Gm5134,0,0.858,0,0,0,1.45,2.271,0.623
Gm5135,0,0,0,0,0,0,0.757,0
Gm5136,0,0,0,0,0,0,0,0
Gm5138,0,0,0,0,0,0,0,0
Gm5139,0,0,0,0,0,0,0,0
Gm5141,10.04,8.577,12.125,6.536,9.643,24.65,10.598,14.957
Gm5142,0,0,0,0,0,0,0,0
Gm5145,0,0,0,0,0,0,0,0
Gm5147,0,0,0.866,0,0,0.725,0,0
Gm5148,0,0,0,0,0,0,1.514,0
Gm5149,0,3.431,0.866,4.085,0,0.725,0,0
Gm5150,421.667,487.193,873.838,700.177,758.549,693.113,345.19,236.827
Gm5152,0,0,0,0,0,0,0,0
Gm5154,0,0,0,0,0,0,0,0
Gm5155,0,0,0,0,0,0,0,0
Gm5157,0,0,0,0,0,0,0,0
Gm5159,0,0,0,0,0,0,0,0
Gm5160,0,0,0,0,0,0,0,0
Gm5161,0,0,0,0,0,0,0,0
Gm5166,0,0,0,0,0,0,0,0
Gm5168,0,0,0,0,0,0,0,0
Gm5169,0,0,0,0,0,0,0,0
Gm5174,0,0,0,0,0,0,0,0
Gm5177,0,0,0,0.817,0,0,0,0.623
Gm5181,0,0,0,0,0,0.725,0,0
Gm5185,0,0,0,0,0,0,0,0
Gm5187,0,0.858,0.866,0,0,0,0.757,0
Gm5190,0,0,0,0,0,0,0,0
Gm5205,0,0,0.866,1.634,0,0.725,0,0
Gm5210,0,0,0,0.817,0,0.725,0.757,0
Gm5215,1.434,0,0,0,0,0,0,0
Gm5218,0,0.858,0,0,0,0,0,0
Gm5224,0,0,0,0,0,0,0,0
Gm5225,0,0,0,0,0,0,0,0
Gm5228,0,0,0,0,0,0,0,0
Gm5229,0,0,0,0,0,0,0,0
Gm5239,0,0,0.866,0,0,0,0,0
Gm5244,0,0.858,0.866,0.817,0,0.725,0.757,2.493
Gm5248,0,0,0,0,0,0,0,0
Gm525,0,0,0,0,0,0,0,0
Gm5250,0,0,0,0,0,0,0,0
Gm5251,0,0,0,0,0,0,0,0
Gm5252,0,0,0,0,0,0,0,0
Gm5253,0,0,0,0,0,0,0,0
Gm5254,0,0,0.866,0,0,0,0,0
Gm5255,0,0,0,0,0,0,0,0
Gm5256,0,0,0,0.817,0,0,0.757,0
Gm5257,0,0,0,0,0,0,0,0
Gm5258,0,0,0,0,0,0,0,0
Gm5259,0,0,0,0,0,0,0.757,0
Gm5260,0,0,0,0,0,0,0,0
Gm5261,0,0,0,0,0,0,0,0
Gm5262,1.434,0.858,0,0,0,0,0,0
Gm5263,0,0,0,0,0,0,0,0
Gm5264,0,0,0,0,0,0,0,0
Gm5265,0,0,0,0,0,0,0,0
Gm5266,0,0,0,0,0,0,0,0
Gm5267,0,0,0,0.817,0,0,0,0
Gm5268,0,0,0,0,0,0,0,0
Gm5269,0,0.858,0,0,0,0,0,0
Gm527,4.303,5.146,3.464,6.536,6.428,3.625,2.271,6.232
Gm5270,0,0,0,0,0,0,0,0
Gm5272,1.434,0,0,0.817,0,0.725,0,0.623
Gm5274,0,0,0,0,0,0.725,0,0
Gm5276,1.434,0,0,1.634,3.214,0,0.757,0
Gm5277,0,0,0,0,0,0,0,0
Gm5278,0,0,0,0,0,0,0,0
Gm5279,0,0,0,0,0,0,0,0
Gm5281,0,0,0,0,0,0,0.757,1.246
Gm5283,0,0,0,0,0,0,0,0
Gm5284,0,0,0,0,0,0,0,0
Gm5285,0,0,0,0,0,0,0,0
Gm5286,0,0,0,0,0,0,0,0
Gm5287,0,0,0,0,0,0,0,0
Gm5288,0,0,0,0,0,0,0,0
Gm5291,0,0.858,0,0,0,0,0,0
Gm5292,4.303,0,0.866,1.634,3.214,2.175,1.514,0
Gm5294,0,0,0,0,0,0,0,0
Gm5297,0,0.858,0,1.634,3.214,0.725,0,0
Gm5298,0,0,0,0,0,0,0,0
Gm53,0,0,0,0,0,0,0,0
Gm5300,0,0,0,0,0,0,0,0
Gm5302,0,0,0,0,0,0,0,0
Gm5303,0,0,0,0,0,0,0,0
Gm5305,0,0,0,0,0,0,0,0
Gm5306,0,0,0,0,0,0,0,0
Gm5307,0,0,0,0,0,0,0,0
Gm5308,0,0,0,0.817,0,0,0.757,0
Gm5309,0,0,0,0,0,0,0,0
Gm5310,0,0,0,0,0,0,0,0
Gm5311,0,0,0,0,0,0,0,0
Gm5312,0,0,0,0,0,0,0,0
Gm5313,1.434,0,0,1.634,0,0,0.757,3.116
Gm5314,0,0,0,0,0,0,0,0
Gm5315,0,0,0,0,0,0,0,0
Gm5316,0,0,0,0,0,0,0,0
Gm5317,0,0,0,0,0,0,0,0
Gm5318,0,0,0,0,0,0,0,0
Gm5319,0,0,0,0,0,0,0,0
Gm5320,0,0,0,0,0,0,0,0
Gm5321,0,0.858,0,1.634,0,0,0,0
Gm5322,0,0,0.866,0,0,0.725,0,0
Gm5324,0,0,0,0,0,0,0,0
Gm5327,0,0,0,0,0,0,0,0
Gm5329,0,0,0,0,0,0,0,0
Gm5334,0,0,0,0,0,0,0,0
Gm5335,0,0,0,0,0,0.725,0,0
Gm5338,0,0,0,0,0,0,0,0
Gm5339,0,0,0,0,0,0,0,0
Gm5340,0,0,0,0,0,0,0,0
Gm5341,0,0,0,0,0,0,0.757,0
Gm5342,0,0,0.866,0,0,0,0,0
Gm5345,12.908,17.155,12.125,12.255,12.857,3.625,15.14,8.725
Gm5346,0,0,0,0,0,0,0,0
Gm5347,0,0,0,0,0,0,0,0
Gm5350,0,0,0,0.817,0,0,0,0.623
Gm5353,0,0,0,0,0,0,0,0
Gm5354,0,0,0,0,0,0,0,0
Gm5356,0,0,0,0,0,0,0.757,0
Gm5357,0,0,0,0,0,0,0,0
Gm5358,0,0,0,0,0,0,0,0
Gm5361,0,0,0,0,0,0,0,0
Gm5362,0,0,0,0,0,0,0,0
Gm5363,0,0,0,0,0,0,0,0
Gm5368,0,0,0.866,0,0,0,0,0
Gm5370,0,0,0,0,0,0,0,0
Gm5371,0,0,0,0,0,0,0,0
Gm5372,0,0,0,0,0,0,0,0
Gm5373,0,0,0,0,0,0,0,0
Gm5379,0,0,0,0,0,0,0,0
Gm5380,0,0.858,1.732,0.817,3.214,0,0,0.623
Gm5381,0,0,0,0,0,0,0,0
Gm5383,0,0,0,0,0,0,0,0
Gm5384,0,0,0,0.817,0,0,0,0
Gm5385,0,0,0,0,0,0,0,0
Gm5386,0,0,0,0,0,0,0,0
Gm5387,0,0,0,0,0,0,0,0
Gm5388,2.868,0.858,1.732,3.268,0,1.45,1.514,1.246
Gm5389,1.434,0,0,0,0,0,0.757,0
Gm5390,0,0,0,0,0,0,0,0
Gm5391,0,0,0,0,0,0,0,0
Gm5392,0,0,0,0,0,0,0,0
Gm5393,0,0,0,0,0,0,0,0
Gm5394,0,0,0,0,0,0,0,0
Gm5395,0,0,0.866,0.817,0,1.45,0,0
Gm5396,0,0,0,0,0,0,0,0.623
Gm5397,0,0,0,0,0,0,0,0
Gm5398,0,0.858,1.732,1.634,0,0.725,0.757,0
Gm5400,0,0,0,0,0,0,0,0
Gm5401,0,0,0,0,0,0,0,0
Gm5402,0,0,0,0,0,0,0,0
Gm5403,0,0,0,0,0,0,0,0
Gm5405,0,0,0,0,0,0,0,0
Gm5406,0,0,0,0,0,0,0,0
Gm5407,0,0,0,0,0,0,0,0
Gm5408,0,0,0,0,0,0,0,0
Gm5409,0,0,0,0,0,0,0,0
Gm5414,0,0,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0,0,0
Gm5416,2.868,6.004,1.732,2.451,0,0,0.757,0
Gm5417,0,0,0,0,0,0.725,0,0.623
Gm5418,0,0,0,0,0,0,0,0
Gm5419,0,0,0,0,0,0,0,0
Gm5420,0,0,0,0,0,0,0,0
Gm5421,5.737,9.435,5.196,4.902,3.214,4.35,4.542,8.725
Gm5422,1.434,0.858,0.866,0.817,3.214,1.45,0.757,0.623
Gm5424,2.868,3.431,13.857,8.17,9.643,5.8,5.299,1.246
Gm5426,0,0,0,0,0,0,0,0
Gm5430,2.868,1.715,0.866,2.451,0,0,0,0.623
Gm5431,262.466,181.84,691.103,534.324,292.491,396.582,495.075,86.629
Gm5432,0,0,0,0,0,0,0,0.623
Gm5434,0,0,0,0,0,0,0,0.623
Gm5435,0,0,0,0,0,0,0,0
Gm5436,1.434,0,1.732,3.268,0,3.625,2.271,1.87
Gm5441,0,0.858,0,0,0,0,0,0
Gm5442,0,0,0,0,0,0,0,0
Gm5444,0,0,0,0,0,0,0,0
Gm5445,0,0,0.866,0,0,0.725,0,0.623
Gm5446,0,0.858,0.866,0,0,1.45,0.757,1.246
Gm5447,0,0,0,0,0,0,0,0
Gm5449,0,0,0,0,0,0,0,0
Gm5451,0,0,0,0,0,0,0,0
Gm5453,0,0,0,0,0,0,0,0
Gm5454,1.434,0.858,0,0,0,0,0,0.623
Gm5455,0,0,0,0,0,0,0,0
Gm5456,0,0,0,0,0,0,0,0
Gm5457,0,0,0,0.817,0,0,0,0
Gm5458,0,0,0,0,0,0,0,0
Gm5459,0,0,0,0,0,0,0,0
Gm5460,0,0,0,0,0,0,0,0
Gm5464,1.434,0,0,0,3.214,0,0,0
Gm5466,0,0,0,0,0,0,0,0
Gm5468,0,0,0,0,0,0,0,0
Gm5471,0,0,0,0,0,0,0,0
Gm5472,0,0,0,0,0,0,0,0
Gm5473,0,0,0,0,0,0,0,0.623
Gm5475,1.434,0.858,0,0,0,0,0,0
Gm5478,0,0,0,0,0,0,0,0
Gm5479,0,0,0,0,0,0,0,0
Gm5483,73.146,224.726,64.953,62.093,9.643,5.075,17.411,2.493
Gm5485,0,0,0,0,0,0,0,0
Gm5493,0,0,0,0,0,0,0,0
Gm5499,1.434,0,2.598,0.817,0,0.725,0,3.116
Gm5501,0,0,0,0,0,0,0,0
Gm5507,0,0,2.598,2.451,3.214,0,0,0.623
Gm5510,0,0.858,0,0,0,0,0,0
Gm5511,4.303,10.293,12.991,13.072,3.214,8.7,15.14,2.493
Gm5513,0,0,0,1.634,0,0.725,0,0
Gm5514,0,0,0,0,0,0.725,0,0
Gm5518,0,0,0,0,0,0,0,0
Gm5519,0,0,0,0,0,0,0,0
Gm5522,0,0,0,0,0,0,0,0
Gm5523,1.434,0,0.866,1.634,0,0,0.757,0.623
Gm5524,0,0,0,0,0,0,0,0
Gm5525,0,0,0,0,0,0,0,0
Gm5526,0,1.715,0.866,3.268,0,1.45,0,2.493
Gm5527,0,0,0,0,0,0,0,0
Gm5528,1.434,0,0,0,0,0.725,0,1.246
Gm5529,0,0.858,0,0,0,0,0.757,0
Gm553,0,0.858,1.732,1.634,3.214,2.9,0,1.246
Gm5530,1.434,0.858,0.866,0,3.214,0,0,0
Gm5532,0,2.573,0,0,3.214,1.45,0.757,1.246
Gm5533,0,0.858,0,0,0,0,0,0
Gm5535,1.434,4.289,2.598,2.451,0,4.35,0,0.623
Gm5537,0,0,0,0,0,0,0,0
Gm5538,0,0,0,0,0,0,0,0
Gm5539,0,0,0,0,0,0,0,0
Gm5540,0,0,0.866,0.817,0,0,0.757,0.623
Gm5541,0,0,0,0,0,0,0.757,1.246
Gm5542,0,0,0,0,0,0,0,0
Gm5543,0,0,0,0,0,0,0,0
Gm5544,0,1.715,0.866,0.817,3.214,0.725,0,1.246
Gm5546,0,0,0,0,0,0,0,0
Gm5547,47.33,35.167,65.819,85.786,61.07,55.101,31.794,10.595
Gm5548,0,0,0,0,0,0,0.757,0
Gm5550,0,1.715,0.866,0,0,0,0.757,0
Gm5551,0,0,0,0,0,0,0,0
Gm5552,0,0,2.598,1.634,0,1.45,3.028,1.246
Gm5554,0,0,0,1.634,0,1.45,0,0
Gm5555,0,0,0,0,3.214,0,0,0.623
Gm5558,0,0,0,0,0,0.725,0,0.623
Gm5559,0,0,0,0,0,0,0,0
Gm5560,0,0,1.732,0.817,0,0,0,0
Gm5561,0,0,0,0,0,0,0,0
Gm5564,0,0,0,0.817,0,0,0,0
Gm5565,0,0,0,0,0,0,0,0
Gm5566,0,0,0,0,0,0,0,0
Gm5570,0,0,0,0,0,0,0,0
Gm5575,0,0,0.866,0,0,0,0.757,0
Gm5576,0,0,0,0.817,0,0,0,0
